"","C.NO.1","N.IM.1","N.MSC.1","N.MSCplusIM.1","C.NO.2","N.IM.2","N.MSC.2","N.MSCplusIM.2","C.NO.3","N.IM.3","N.MSC.3","N.MSCplusIM.3"
"PRG3",9.71836182158751,7.42487336316468,5.78520880213361,5.90801400843921,8.49930084003245,7.76167170527391,7.21637951388507,7.04229715166659,8.6193648896989,7.59813839395326,5.90582248340497,5.7759377154257
"TXNIP",10.1441017180052,8.75640678256441,12.0008901487788,11.1956252119759,11.1160565620399,9.12574002228117,12.1068202831802,10.6051002574524,10.7869909019384,8.71043812962717,12.1781817962169,11.3525458419683
"GBP4",4.2061011880721,4.99257079334715,5.89963904236515,6.03729001243247,5.0850348348576,5.40202858807589,5.48832462522933,6.80830414383626,4.63341088466184,5.8535564502109,5.99017562512576,6.84714636010637
"CSF1",7.54401725293,8.41365835432318,8.50865618472188,8.62244416686794,7.86337583509428,8.38409277353049,8.78524683934365,9.46326524802494,7.71129980111726,8.73954068743233,9.23158132417135,9.60819791313615
"CTSE",6.09856083348128,5.45710276762831,9.03743472745645,8.42761220262336,6.36630593697424,5.4366516669391,7.93410622147155,8.41260485050418,5.98527289295118,6.02341827444115,9.22823797860485,8.91109790358556
"AIF1",8.77696785685783,8.04210634358762,8.73119473312451,7.98036350492707,8.89419606327465,8.32215785483477,8.67009629177171,7.76756978028386,8.95198813684346,7.84917845001749,8.31226729389428,7.67522800241048
"ALDH1A1",8.39702535799704,8.04105613258971,9.3851243454794,9.57792163282988,8.86966368392821,8.6063899857136,9.30086619504546,9.73684047599589,8.54607256204473,8.56947541679243,9.78826365201354,9.88825140895216
"APOE",7.17681471110648,7.29580193814054,8.38782296913077,8.78275291862335,7.65491947034748,7.51471115836166,8.20745308561148,8.37775297730158,7.40174355463196,7.59407481626822,8.28237751505637,8.35572128604523
"OSM",6.77868777744228,6.78975259850763,7.21253174172647,7.33986753477065,6.32076440875261,6.700204390324,7.64773327006079,7.60783028880393,6.39405046490789,6.88539872299046,8.01580719763117,8.24317095704179
"TMEM176A",4.85085673215026,6.77650522422577,4.63771971989796,7.44875728519814,5.04734838206987,4.61069457161366,5.32497680990549,6.41635871606438,4.56044786872809,5.78752616540929,5.36006168732626,7.14512944423845
"CRLF2",4.40178185020361,4.76616928784092,4.06452449621804,6.01158962450118,4.72212556791374,4.50511895941045,4.66868491800371,5.78109376121791,3.99861317182538,4.39225874948085,5.32380121420991,6.33463848647033
"TGFBR3",4.31928940758155,4.42567585240291,4.36103231048272,5.21233358169812,4.42783513172844,4.17417202803813,5.1092792040335,5.48636669183272,3.97352709950467,4.30927584701756,5.01750912306078,5.6695034349926
"AKR1C3",8.6583327573035,8.87464936326873,9.30637282496969,9.60611121343479,8.7511849503656,8.75657372198607,9.01580392960829,9.55094248345122,8.12422400818438,8.7627351280652,9.55231013505258,9.40033148276939
"CD38",7.57929651519747,7.83137788567026,9.40401168121115,8.84173381760009,8.00251912115357,7.85911416663836,8.87307756789927,8.43035680814253,7.9376135879414,7.88750135073285,9.57746634303083,8.67498776386938
